Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart Festive Sale in 2021! 248,2021-08-30 12:29:34,Festive Sale,2021,166008.58,Sports,64.45,27375,3907,1,Facebook,7212000,1.83,14.39,3.67,993222,Debit Card,3.23,2.52,Washing Machine
Flipkart Monsoon Sale in 2025! 249,2025-05-10 11:31:52,Monsoon Sale,2025,9509938.98,Groceries,33.99,16272,6298,6,Flipkart App,5348000,0.9,69.31,3.42,630442,UPI,7.19,3.93,Headphones
Flipkart Clearance Sale in 2020! 250,2020-10-11 21:19:23,Clearance Sale,2020,5111575.08,Toys,36.23,49614,9027,3,Facebook,5356000,2.98,34.92,1.01,238209,Credit Card,12.61,4.17,Shoes
Flipkart Deal of the Day in 2022! 251,2022-05-06 4:25:38,Deal of the Day,2022,2746809.5,Fashion,13.82,5280,5096,5,Email,5693000,1.98,79.25,1.02,269539,Credit Card,9.67,2.68,Shoes
Flipkart Festive Sale in 2023! 252,2023-02-01 22:24:35,Festive Sale,2023,9389060.26,Beauty,31.41,6398,2402,3,Email,1393000,0.87,28.48,0.53,860452,Wallet,6.78,4.56,Books
Flipkart Deal of the Day in 2023! 253,2023-09-11 1:00:13,Deal of the Day,2023,5066865.87,Books,40.92,47800,467,4,Flipkart App,6104000,2.64,61.96,2.09,387722,Cash on Delivery,9.13,3,Laptop
Flipkart Big Billion Days Sale in 2024! 254,2024-10-18 2:28:02,Big Billion Days Sale,2024,3355979.1,Toys,49.58,11373,2703,6,Facebook,8313000,1.69,52.86,2.56,815171,Credit Card,11.37,2.76,Perfume
Flipkart No Cost EMI Sale in 2025! 255,2025-02-04 16:55:20,No Cost EMI Sale,2025,3984393.31,Electronics,43.31,10943,6210,3,Instagram,9280000,2.38,65.39,4.85,920703,UPI,9.59,4.16,Perfume
Flipkart Big Billion Days Sale in 2020! 256,2020-09-12 2:53:48,Big Billion Days Sale,2020,2364555.37,Groceries,49.37,16609,8659,3,Twitter,7231000,1.12,40.78,4.76,175428,Credit Card,1.34,4,Laptop
Flipkart Clearance Sale in 2025! 257,2025-04-02 9:52:06,Clearance Sale,2025,8847212.3,Home,48.73,34563,6598,4,Email,1286000,2.49,19.09,3.6,497710,UPI,9.32,4.79,Laptop
Flipkart Big Billion Days Sale in 2021! 258,2021-02-10 16:28:08,Big Billion Days Sale,2021,9166017.08,Home,18.37,12278,8200,3,Instagram,9673000,2.81,29.02,0.72,707911,UPI,9.06,4.97,Shoes
Flipkart Clearance Sale in 2024! 259,2024-10-19 2:25:13,Clearance Sale,2024,3137431.39,Home,23.83,10307,5768,3,Facebook,3684000,4.77,54.55,3.87,929062,Credit Card,8.67,4.55,Laptop
Flipkart GOAT Sale in 2024! 260,2024-01-28 17:21:58,GOAT Sale,2024,4529842.5,Books,67.3,29708,5070,1,Email,8691000,4.03,45.6,3.93,596985,UPI,1.43,4.65,Laptop
Flipkart Clearance Sale in 2023! 261,2023-11-18 1:39:12,Clearance Sale,2023,996630.56,Books,25.11,17322,5509,1,Facebook,1251000,2.27,17.95,2.16,165716,UPI,3.48,4.91,Washing Machine
Flipkart Winter Sale in 2023! 262,2023-03-19 19:28:48,Winter Sale,2023,3570647.75,Fashion,28.51,5812,1429,2,Instagram,4916000,0.98,67.97,4.54,211546,Debit Card,2.69,2.78,Smartphone
Flipkart Flash Sale in 2024! 263,2024-08-04 21:25:42,Flash Sale,2024,6143145.02,Toys,61.48,37209,7415,6,Email,1245000,4.02,32.77,4.66,518599,UPI,12.41,3.57,Perfume
Flipkart No Cost EMI Sale in 2021! 264,2021-10-21 13:15:15,No Cost EMI Sale,2021,4089552.91,Toys,20.89,20628,6157,6,Twitter,6711000,0.85,14.36,1.2,55073,Cash on Delivery,3.1,3.88,Smartphone
Flipkart Summer Sale in 2025! 265,2025-12-15 15:43:00,Summer Sale,2025,2354389.33,Books,57.51,16801,8519,5,Flipkart App,2626000,0.22,45.17,4.65,45667,Cash on Delivery,8.53,4.67,Laptop
Flipkart No Cost EMI Sale in 2022! 266,2022-03-06 21:03:36,No Cost EMI Sale,2022,1828679.3,Fashion,43.48,1071,7696,2,Flipkart App,7168000,0.49,68.65,1.52,598753,Cash on Delivery,3.9,3.15,Books
Flipkart Monsoon Sale in 2020! 267,2020-07-03 7:26:11,Monsoon Sale,2020,6444224.24,Groceries,64.31,44277,5363,6,Flipkart App,4112000,1.33,22.45,1.67,739450,Debit Card,7.85,3.19,Washing Machine
Flipkart Summer Sale in 2021! 268,2021-01-31 23:01:17,Summer Sale,2021,5272680.12,Beauty,68.02,20171,5580,1,Twitter,3352000,0.69,54.24,3.79,126857,Credit Card,13.59,4.27,Washing Machine
Flipkart Big Billion Days Sale in 2022! 269,2022-03-01 5:33:11,Big Billion Days Sale,2022,8865892.36,Groceries,42.6,16328,6447,6,Flipkart App,7423000,1.57,75,3.41,322712,Cash on Delivery,7.58,3.86,Smartphone
Flipkart Winter Sale in 2025! 270,2025-11-25 23:44:59,Winter Sale,2025,9482879.19,Books,33.76,33624,8053,7,Flipkart App,1581000,2.76,11.03,3.9,882809,Cash on Delivery,4.12,4.23,Smartphone
Flipkart No Cost EMI Sale in 2021! 271,2021-07-29 23:44:54,No Cost EMI Sale,2021,5756780.52,Electronics,20.84,34151,4052,3,Instagram,9037000,2.08,11.23,2.06,357579,Debit Card,7.27,4.11,Shoes
Flipkart Festive Sale in 2022! 272,2022-10-18 8:57:22,Festive Sale,2022,751369.27,Home,45.3,13642,6870,5,Facebook,9577000,0.17,28.62,4.89,875664,Credit Card,8.24,4.8,Books
Flipkart Deal of the Day in 2025! 273,2025-07-04 3:20:13,Deal of the Day,2025,4807362.49,Fashion,12.58,34844,9582,7,Instagram,6311000,4.39,63.05,2.06,753870,Credit Card,11.11,2.7,Books
Flipkart Big Billion Days Sale in 2021! 274,2021-02-07 8:35:26,Big Billion Days Sale,2021,4634447.45,Toys,59.97,49752,6940,7,Flipkart App,1520000,2.71,79.21,3.95,342832,Debit Card,13.5,4.5,Headphones
Flipkart Festive Sale in 2021! 275,2021-01-18 18:09:27,Festive Sale,2021,2262758.01,Groceries,8.35,42276,4132,7,Instagram,682000,1.2,21.2,1.07,361999,Debit Card,8.42,3.34,Perfume
Flipkart Clearance Sale in 2024! 276,2024-09-27 12:07:36,Clearance Sale,2024,1768621.54,Electronics,38.17,7154,5035,6,Email,9831000,1.94,20.98,2.33,967058,Cash on Delivery,1.63,4.73,Smartphone
Flipkart Summer Sale in 2022! 277,2022-02-08 0:36:48,Summer Sale,2022,9581857.61,Electronics,28.8,12338,968,6,Facebook,1406000,2.43,68.45,4.42,955066,Credit Card,1.87,2.66,Shoes
Flipkart Monsoon Sale in 2024! 278,2024-08-31 6:24:13,Monsoon Sale,2024,7532158.09,Fashion,58.07,46798,3791,3,Instagram,3908000,3.45,67.51,2.87,476464,Wallet,6.53,4.46,Smartphone
Flipkart Deal of the Day in 2023! 279,2023-02-02 0:40:53,Deal of the Day,2023,8153567.24,Home,55.43,12005,5806,5,Facebook,4790000,3.67,23.19,4.68,103905,Debit Card,6.37,4.8,Laptop
Flipkart Deal of the Day in 2025! 280,2025-08-03 0:13:48,Deal of the Day,2025,5499354.89,Fashion,5.54,21593,1161,2,Facebook,8152000,3.37,45.07,3.81,188354,Debit Card,1.75,4.59,Laptop
Flipkart Clearance Sale in 2021! 281,2021-01-28 13:47:12,Clearance Sale,2021,971398.39,Electronics,37.52,19283,7767,1,Instagram,6852000,1.75,64.43,3.14,57138,Debit Card,8.1,4.28,Books
Flipkart Summer Sale in 2024! 282,2024-11-12 10:58:01,Summer Sale,2024,3058511.34,Electronics,8.15,2884,518,6,Instagram,2818000,2.9,58.86,2.7,383860,Debit Card,12.32,4.41,Shoes
Flipkart Clearance Sale in 2024! 283,2024-12-31 9:48:18,Clearance Sale,2024,5267519.9,Beauty,43.16,42730,5144,3,Twitter,1606000,2.82,22.25,1,283014,UPI,9.85,4.4,Books
Flipkart Monsoon Sale in 2025! 284,2025-08-27 21:19:09,Monsoon Sale,2025,4036046.63,Fashion,36.99,37504,8915,5,Twitter,1420000,1.14,52.69,3.4,228719,UPI,5.07,3.09,Headphones
Flipkart No Cost EMI Sale in 2022! 285,2022-11-03 18:13:55,No Cost EMI Sale,2022,3711081.1,Fashion,51.69,38743,5447,3,Flipkart App,2511000,4.03,23.5,3.17,149395,Credit Card,5.24,4.88,Books
Flipkart Clearance Sale in 2025! 286,2025-01-16 5:14:58,Clearance Sale,2025,9843173.12,Beauty,34.49,14195,4454,1,Instagram,2252000,1.39,54.42,4.66,556707,Credit Card,1.35,4.39,Shoes
Flipkart Winter Sale in 2021! 287,2021-02-10 7:27:23,Winter Sale,2021,5487197.44,Beauty,64.46,49148,6085,5,Twitter,6257000,4.71,16.94,3.89,386441,Credit Card,9.47,4.61,Laptop
Flipkart Flash Sale in 2021! 288,2021-06-04 2:41:43,Flash Sale,2021,6490103.21,Home,58.52,12328,5470,5,Flipkart App,6996000,3.36,73.47,2.16,745587,UPI,1.99,2.94,Headphones
Flipkart Big Billion Days Sale in 2023! 289,2023-10-26 11:40:11,Big Billion Days Sale,2023,5141599.68,Electronics,15,24268,6022,4,Instagram,6611000,4.5,72.07,0.53,743234,UPI,5.86,3.07,Laptop
Flipkart GOAT Sale in 2023! 290,2023-10-03 11:47:56,GOAT Sale,2023,968238.77,Sports,5.44,27835,5129,1,Email,5824000,4.35,22.41,4.52,795549,Credit Card,10.12,4.16,Smartphone
Flipkart Flash Sale in 2024! 291,2024-10-06 18:28:13,Flash Sale,2024,6366808.14,Groceries,41,32667,3291,1,Flipkart App,3911000,2.26,51.16,4.21,708452,Debit Card,1.33,4.4,Headphones
Flipkart Big Billion Days Sale in 2021! 292,2021-12-26 8:05:59,Big Billion Days Sale,2021,9861662.91,Beauty,48.67,3421,8033,7,Twitter,3188000,2.18,45.75,2.11,210897,Debit Card,3.52,4.18,Washing Machine
Flipkart Summer Sale in 2022! 293,2022-03-23 2:27:27,Summer Sale,2022,7246162.64,Toys,44.44,18069,2071,2,Facebook,8766000,4.13,30.97,2.11,114449,Wallet,3.42,3.65,Toys
Flipkart Big Billion Days Sale in 2023! 294,2023-03-22 21:48:41,Big Billion Days Sale,2023,4846438.94,Books,48.31,47196,5375,7,Email,8963000,1.93,43.99,2.97,266917,Wallet,10.58,4.74,Headphones
Flipkart Winter Sale in 2023! 295,2023-04-23 17:50:46,Winter Sale,2023,5308755.96,Books,8.93,6699,1492,3,Facebook,7997000,4.62,56.59,2.46,604445,Debit Card,14.77,3.48,Perfume
Flipkart Summer Sale in 2023! 296,2023-02-21 1:41:57,Summer Sale,2023,2962227.23,Beauty,40.78,10518,5479,7,Twitter,2001000,4.27,57.94,4.67,942932,Wallet,5.6,3.03,Shoes
Flipkart Summer Sale in 2020! 297,2020-02-03 0:30:57,Summer Sale,2020,524000.35,Toys,20.36,15560,2611,1,Instagram,8602000,3.57,63.16,3.86,258838,Credit Card,7.05,3.74,Headphones
Flipkart GOAT Sale in 2022! 298,2022-01-02 0:50:53,GOAT Sale,2022,2162161.83,Fashion,18.68,30615,6485,2,Email,7575000,2.23,77.15,1.98,767700,UPI,6.12,3.41,Laptop
Flipkart Flash Sale in 2020! 299,2020-02-25 18:50:21,Flash Sale,2020,3571058.37,Books,54.23,18311,3067,6,Facebook,7938000,1.96,49.06,2.36,926376,Wallet,8.65,3.62,Toys
Flipkart Festive Sale in 2020! 300,2020-05-22 0:32:00,Festive Sale,2020,3470653.2,Beauty,68.7,30374,9265,5,Facebook,4205000,0.43,60.99,4.09,552102,UPI,4.75,2.71,Headphones
Flipkart Summer Sale in 2020! 301,2020-08-31 18:12:27,Summer Sale,2020,9484323.83,Books,55.47,36416,1589,5,Instagram,4712000,0.54,22.38,2.74,878424,Wallet,1.43,4.63,Toys
Flipkart Festive Sale in 2020! 302,2020-01-16 23:54:09,Festive Sale,2020,2702006.69,Home,19.42,34748,3249,6,Facebook,3698000,4.84,43.51,3.1,179170,Credit Card,3.18,4.06,Toys
Flipkart Deal of the Day in 2024! 303,2024-01-04 1:45:33,Deal of the Day,2024,7894125.62,Books,38.07,45111,6339,7,Facebook,9239000,2.76,59.33,3.26,964334,Wallet,6.35,4.49,Washing Machine
Flipkart Festive Sale in 2023! 304,2023-10-05 20:10:14,Festive Sale,2023,1941608.9,Groceries,27,14145,318,2,Flipkart App,4570000,3.65,33.69,3.88,841494,Cash on Delivery,6.22,3.87,Washing Machine
Flipkart Monsoon Sale in 2023! 305,2023-01-20 7:05:36,Monsoon Sale,2023,6510868.07,Fashion,69.32,7054,6070,1,Instagram,3602000,4.87,77.89,2.48,665107,Debit Card,13.76,4.63,Headphones
Flipkart Big Billion Days Sale in 2020! 306,2020-04-30 22:27:07,Big Billion Days Sale,2020,8497438.5,Toys,46.35,32635,5274,4,Flipkart App,2757000,3.78,18.12,4.56,17909,UPI,8.5,2.87,Headphones
Flipkart Clearance Sale in 2023! 307,2023-12-08 2:30:34,Clearance Sale,2023,249486.06,Home,44.12,28019,4745,4,Email,8461000,3.85,26.28,0.65,548282,UPI,10.58,2.62,Smartphone
Flipkart Summer Sale in 2022! 308,2022-07-22 7:10:10,Summer Sale,2022,8808492.75,Beauty,59.41,18903,4026,7,Facebook,2185000,3.94,78.47,2.71,57961,Credit Card,3.45,3.9,Shoes
Flipkart Big Billion Days Sale in 2020! 309,2020-09-07 14:37:18,Big Billion Days Sale,2020,9190675.35,Beauty,26.61,20904,104,7,Facebook,8298000,2.68,73.69,4.37,159608,Wallet,10.2,4.94,Shoes
Flipkart Flash Sale in 2022! 310,2022-09-09 11:21:46,Flash Sale,2022,6374836.41,Beauty,66.01,18317,5280,1,Email,1365000,2.14,38.85,3.73,14603,Credit Card,4.12,4.77,Shoes
Flipkart GOAT Sale in 2021! 311,2021-05-19 18:05:59,GOAT Sale,2021,166257.8,Beauty,48.91,42839,8167,7,Twitter,4999000,2.13,64.72,0.96,589558,Wallet,2.49,3.83,Headphones
Flipkart Big Billion Days Sale in 2020! 312,2020-03-21 16:51:59,Big Billion Days Sale,2020,1756135.3,Sports,6.72,46513,3698,4,Facebook,1073000,3.92,79.48,4.99,939944,Wallet,1.29,3.35,Books
Flipkart Summer Sale in 2021! 313,2021-09-08 13:25:47,Summer Sale,2021,4777107.59,Sports,15.5,3852,8738,3,Facebook,691000,1.37,41.44,3.75,201019,UPI,14.92,2.78,Toys
Flipkart Flash Sale in 2023! 314,2023-04-13 6:19:09,Flash Sale,2023,453250.52,Books,47.59,38523,8902,4,Facebook,5365000,2.09,35.39,3.12,704979,Cash on Delivery,2.38,2.96,Laptop
Flipkart GOAT Sale in 2024! 315,2024-10-25 7:41:30,GOAT Sale,2024,2559448.48,Groceries,33.51,27012,4615,5,Instagram,6600000,2.79,36.19,3.14,116692,Credit Card,5.28,3.99,Shoes
Flipkart Festive Sale in 2023! 316,2023-05-03 0:43:04,Festive Sale,2023,532063.2,Toys,18.61,21605,3569,7,Twitter,4696000,1.57,47.03,1.95,857757,Debit Card,2.83,2.86,Perfume
Flipkart Flash Sale in 2022! 317,2022-10-03 7:24:24,Flash Sale,2022,3392448.29,Beauty,40.1,20966,7964,6,Email,6248000,4.79,55.89,3.7,363929,Credit Card,2.87,4.08,Toys
Flipkart Summer Sale in 2025! 318,2025-02-19 12:40:24,Summer Sale,2025,1658126.74,Electronics,19.61,27553,9310,7,Email,8599000,3.02,31.93,1.32,313105,UPI,5.77,3.33,Shoes
Flipkart Deal of the Day in 2024! 319,2024-10-31 14:59:44,Deal of the Day,2024,1586356.94,Sports,23.85,29839,476,5,Instagram,5753000,0.27,21.93,3.59,874877,Cash on Delivery,4.04,3.57,Headphones
Flipkart No Cost EMI Sale in 2023! 320,2023-02-03 19:38:19,No Cost EMI Sale,2023,7407217.63,Beauty,26.46,8424,8716,7,Facebook,8341000,1.71,34.56,2.34,896725,Debit Card,4.67,4.98,Laptop
Flipkart Big Billion Days Sale in 2022! 321,2022-09-24 14:32:24,Big Billion Days Sale,2022,912860.75,Books,6.27,34570,8492,2,Facebook,5318000,0.86,71.74,2.54,222801,UPI,2.97,4.91,Laptop
Flipkart Deal of the Day in 2021! 322,2021-08-22 15:03:44,Deal of the Day,2021,3585670.59,Fashion,43.5,10981,1581,7,Facebook,6515000,2.41,20.01,2.59,761802,Debit Card,11.88,2.7,Headphones
Flipkart No Cost EMI Sale in 2021! 323,2021-08-14 10:14:49,No Cost EMI Sale,2021,7606961.13,Toys,47.08,41189,5862,1,Facebook,1382000,4.05,15.25,0.96,233817,Cash on Delivery,13.16,3.26,Laptop
Flipkart Deal of the Day in 2024! 324,2024-08-05 19:54:37,Deal of the Day,2024,527931.98,Books,22.86,28623,6737,2,Email,6636000,3.83,16.49,2.95,772277,Wallet,14.67,5,Washing Machine
Flipkart Big Billion Days Sale in 2024! 325,2024-05-29 7:24:44,Big Billion Days Sale,2024,6853112.43,Groceries,49.95,45979,9838,1,Twitter,4227000,0.18,53.61,4.61,880478,Wallet,12.71,4.51,Toys
Flipkart Flash Sale in 2023! 326,2023-06-24 15:41:41,Flash Sale,2023,2831330.85,Sports,9.64,16082,8324,4,Flipkart App,4897000,1.94,55.2,3.44,216675,UPI,9.03,2.55,Books
Flipkart Festive Sale in 2021! 327,2021-06-13 4:31:53,Festive Sale,2021,4449186.04,Groceries,10.53,33557,5594,7,Flipkart App,856000,3.49,42.28,1.91,616755,Debit Card,4.94,2.53,Laptop
Flipkart GOAT Sale in 2024! 328,2024-10-16 10:19:35,GOAT Sale,2024,6862515.16,Electronics,59.77,40153,9901,2,Twitter,876000,4.54,37.29,1.06,643844,Wallet,10.01,4.08,Toys
Flipkart Deal of the Day in 2024! 329,2024-09-03 23:12:36,Deal of the Day,2024,6021381.05,Home,12.37,7415,9170,1,Facebook,8982000,0.99,17.49,2.75,288918,Credit Card,12.63,3.19,Toys
Flipkart Festive Sale in 2020! 330,2020-07-11 6:20:54,Festive Sale,2020,9441331.84,Books,21.51,9225,9903,3,Facebook,1935000,4.29,61.19,1.04,910143,Cash on Delivery,8.28,3.53,Smartphone
Flipkart Summer Sale in 2022! 331,2022-02-03 13:04:38,Summer Sale,2022,7383123.67,Home,41.24,24548,1745,4,Email,9447000,1.19,16.05,4.41,600354,UPI,10.82,3.3,Perfume
Flipkart Flash Sale in 2020! 332,2020-06-01 6:36:51,Flash Sale,2020,2561163.9,Electronics,45.59,10524,3034,7,Flipkart App,5630000,1.51,46.45,2.01,108308,Wallet,5.12,4.86,Headphones
Flipkart Winter Sale in 2020! 333,2020-03-18 20:42:18,Winter Sale,2020,9039826.4,Electronics,12.89,27512,6159,3,Flipkart App,5884000,2.28,66.42,3.52,593831,UPI,11.68,3.09,Books
Flipkart GOAT Sale in 2023! 334,2023-01-25 5:15:14,GOAT Sale,2023,8658367.42,Fashion,56.56,24182,5076,3,Instagram,1946000,0.31,43.05,1.35,489738,Credit Card,10.49,4.1,Washing Machine
Flipkart Winter Sale in 2021! 335,2021-06-23 8:35:12,Winter Sale,2021,7658531.19,Home,54.04,43434,1099,4,Email,1988000,3.37,63.22,4.85,752318,Cash on Delivery,3.06,4.86,Smartphone
Flipkart Monsoon Sale in 2021! 336,2021-08-31 21:05:50,Monsoon Sale,2021,1769963.84,Sports,61.47,7776,1149,4,Facebook,4055000,0.79,23.25,0.81,681509,Wallet,13.52,2.52,Washing Machine
Flipkart Winter Sale in 2022! 337,2022-10-05 19:57:15,Winter Sale,2022,1641865.77,Books,8.72,15069,2363,7,Twitter,9719000,2.12,42.92,2.26,205858,Cash on Delivery,13.21,4.77,Books
Flipkart Monsoon Sale in 2020! 338,2020-05-19 21:04:40,Monsoon Sale,2020,9440970.04,Fashion,22.23,35394,3802,3,Twitter,1686000,1.6,34.8,0.8,862079,Credit Card,10.92,3.87,Washing Machine
Flipkart Monsoon Sale in 2025! 339,2025-11-25 5:01:55,Monsoon Sale,2025,1553649.56,Groceries,59.28,3915,6084,4,Facebook,1633000,1.7,32.59,2.55,675166,Credit Card,4.81,4.07,Laptop
Flipkart Flash Sale in 2023! 340,2023-09-11 9:10:01,Flash Sale,2023,8566952.47,Beauty,52.64,41862,8583,6,Facebook,5833000,1.52,39.38,4.99,592747,Credit Card,13.37,2.87,Washing Machine
Flipkart Winter Sale in 2020! 341,2020-08-07 12:00:34,Winter Sale,2020,7286570.38,Toys,44.35,47602,1216,7,Instagram,5921000,4.32,58.09,0.69,918105,UPI,2.01,4.11,Toys
Flipkart Winter Sale in 2023! 342,2023-04-13 9:08:36,Winter Sale,2023,2822722.38,Sports,23.68,31504,7159,7,Flipkart App,2656000,2.03,16.99,3.53,746654,Debit Card,11.16,3.46,Washing Machine
Flipkart Festive Sale in 2021! 343,2021-05-18 19:23:24,Festive Sale,2021,5526029.09,Home,18.48,25298,363,6,Instagram,4863000,0.94,33.82,1.27,816898,Wallet,8.28,4.79,Books
Flipkart Deal of the Day in 2020! 344,2020-05-18 22:11:22,Deal of the Day,2020,6563574.85,Sports,37.11,10944,5576,2,Flipkart App,1811000,2.26,61.7,1.13,266155,UPI,9.45,3.3,Shoes
Flipkart Deal of the Day in 2023! 345,2023-01-04 7:26:44,Deal of the Day,2023,4862235.61,Beauty,51.56,13751,3467,7,Flipkart App,8415000,1.96,78.78,2.39,469849,Cash on Delivery,4.94,2.68,Perfume
Flipkart Clearance Sale in 2020! 346,2020-09-05 18:10:54,Clearance Sale,2020,4911581.28,Books,25.92,27779,7588,6,Flipkart App,3269000,1.12,56.47,3.95,468432,Cash on Delivery,3.8,3.24,Books
Flipkart Winter Sale in 2020! 347,2020-01-29 11:54:15,Winter Sale,2020,3274612.23,Electronics,12.66,45002,1471,7,Facebook,566000,0.88,10.6,3.79,609484,UPI,14.58,4.45,Perfume
Flipkart No Cost EMI Sale in 2022! 348,2022-09-26 14:45:59,No Cost EMI Sale,2022,675377.25,Sports,63.21,18956,4300,6,Email,4232000,2.4,78.89,1.02,815430,Debit Card,9.43,3.47,Books
Flipkart No Cost EMI Sale in 2021! 349,2021-04-17 12:08:38,No Cost EMI Sale,2021,7594166.5,Electronics,40,1764,7027,3,Flipkart App,8294000,0.13,77.24,3.39,847230,Credit Card,6.73,3.65,Books
Flipkart GOAT Sale in 2022! 350,2022-04-09 13:59:34,GOAT Sale,2022,6788158.36,Sports,67.76,5780,1902,2,Email,3839000,1,71.31,1.95,803954,UPI,1.07,2.65,Headphones
Flipkart Big Billion Days Sale in 2024! 351,2024-07-14 15:36:08,Big Billion Days Sale,2024,6665686.91,Home,32.56,45169,3207,5,Instagram,8793000,3.43,18.26,1.49,697109,Wallet,6.52,2.79,Smartphone
Flipkart Summer Sale in 2023! 352,2023-09-16 11:50:36,Summer Sale,2023,8861705.56,Electronics,61.39,30921,2843,3,Email,7812000,4.36,30.9,1,809092,Debit Card,7.62,2.82,Washing Machine
Flipkart Deal of the Day in 2024! 353,2024-02-23 15:09:30,Deal of the Day,2024,5528136.39,Sports,28.59,8343,7464,1,Instagram,9052000,2.03,65.94,4.6,307565,Cash on Delivery,14.97,3.44,Laptop
Flipkart Summer Sale in 2025! 354,2025-03-11 9:30:46,Summer Sale,2025,414936.77,Toys,52.39,13742,6431,7,Twitter,3287000,4.79,11.95,0.73,884694,UPI,6.14,2.55,Toys
Flipkart Festive Sale in 2021! 355,2021-08-20 18:46:04,Festive Sale,2021,9341785.76,Home,38.05,3518,8645,4,Facebook,6558000,2.71,66.56,0.64,591525,Cash on Delivery,4.26,3.18,Books
Flipkart Big Billion Days Sale in 2024! 356,2024-07-19 3:36:18,Big Billion Days Sale,2024,5397583.42,Sports,26.45,22835,7200,3,Flipkart App,8892000,2.25,52.23,3.02,862773,Credit Card,1.32,4.15,Perfume
Flipkart No Cost EMI Sale in 2025! 357,2025-01-20 21:21:37,No Cost EMI Sale,2025,9998556.51,Fashion,11.93,28712,220,5,Facebook,5476000,3.78,33.13,0.82,426327,Credit Card,10.62,4.47,Shoes
Flipkart GOAT Sale in 2024! 358,2024-02-05 5:11:36,GOAT Sale,2024,5167978.75,Groceries,46.93,44575,4121,5,Facebook,3291000,0.32,11.95,3.63,69185,Wallet,7.03,3.69,Smartphone
Flipkart Summer Sale in 2025! 359,2025-09-16 6:48:35,Summer Sale,2025,1917670.46,Home,35.98,21419,665,7,Twitter,8232000,4.09,74.57,2.35,262183,UPI,4.87,2.6,Laptop
Flipkart Big Billion Days Sale in 2025! 360,2025-04-26 21:58:00,Big Billion Days Sale,2025,3686700.63,Toys,65.87,42640,6334,3,Facebook,5436000,1.86,36.56,4.68,990673,Wallet,13.79,3.43,Headphones
Flipkart Clearance Sale in 2020! 361,2020-01-15 9:59:38,Clearance Sale,2020,9081542.57,Fashion,46.04,47589,1785,4,Email,3853000,2.76,12.01,2.11,110567,Credit Card,10.52,3.36,Toys
Flipkart GOAT Sale in 2020! 362,2020-01-13 15:57:11,GOAT Sale,2020,5491839.38,Books,11.2,39071,4141,5,Flipkart App,5795000,3.6,33.88,1.21,899932,Credit Card,10.8,2.83,Toys
Flipkart Clearance Sale in 2020! 363,2020-09-12 4:42:44,Clearance Sale,2020,991279.93,Books,58.29,22561,3425,4,Email,1226000,0.3,33.24,1.77,868223,Wallet,14.42,4.81,Shoes
Flipkart Summer Sale in 2023! 364,2023-09-13 6:29:10,Summer Sale,2023,7470497.39,Fashion,60.28,45978,6834,7,Email,8970000,3.59,21.02,1.32,765071,Debit Card,3.98,2.53,Laptop
Flipkart Summer Sale in 2024! 365,2024-09-13 16:42:22,Summer Sale,2024,1825580.76,Home,28.15,49728,1275,5,Email,8771000,3.89,50.85,2.77,561929,Cash on Delivery,8.99,4.52,Washing Machine
Flipkart Flash Sale in 2023! 366,2023-01-03 7:06:56,Flash Sale,2023,7319638.74,Groceries,12.23,9617,6208,3,Facebook,6771000,1.99,64.73,1.74,229747,Debit Card,12.84,2.54,Smartphone
Flipkart Flash Sale in 2023! 367,2023-12-13 0:56:16,Flash Sale,2023,1543778.33,Groceries,47.53,7863,8050,3,Instagram,5704000,1.27,76.37,4.3,475461,Debit Card,5.36,2.9,Headphones
Flipkart Flash Sale in 2025! 368,2025-01-10 18:49:01,Flash Sale,2025,9295641.36,Toys,32.22,5218,2125,7,Facebook,7704000,3.16,76.06,2.43,503545,UPI,3.95,3.52,Perfume
Flipkart Summer Sale in 2022! 369,2022-12-28 15:16:30,Summer Sale,2022,7631859.68,Books,69.29,28127,3759,5,Flipkart App,4502000,2.26,55.99,4.58,494287,Wallet,2.08,4.4,Toys
Flipkart No Cost EMI Sale in 2025! 370,2025-09-30 20:13:44,No Cost EMI Sale,2025,3465585.46,Home,44.28,11347,6331,7,Facebook,9901000,0.56,44.93,2.54,347352,Cash on Delivery,1.6,4.32,Toys
Flipkart No Cost EMI Sale in 2025! 371,2025-06-24 15:39:41,No Cost EMI Sale,2025,3673835.54,Books,48.25,4273,429,1,Twitter,3928000,0.69,65.78,3.8,36553,Wallet,5.42,2.78,Laptop
Flipkart Festive Sale in 2020! 372,2020-05-22 21:16:45,Festive Sale,2020,690227.23,Books,60.57,13488,4419,6,Instagram,8176000,0.3,50.62,1.54,94218,Wallet,9.16,2.75,Washing Machine
Flipkart Clearance Sale in 2024! 373,2024-03-15 2:45:45,Clearance Sale,2024,516663.66,Beauty,64.05,46116,4263,4,Twitter,6385000,2.55,48.68,2.1,155075,UPI,4.25,3.25,Headphones
