Name,timestamp,Type,year,Total_amt_of_sale,maximum_sale_category,avg_discount,no_of_customers_visited,no_of_products_sold,duration_days,platform,campaign_budget,conversion_rate,returning_customers_percent,click_through_rate,impressions,payment_mode_used,avg_session_time,customer_rating_avg,top_selling_product
Flipkart Big Billion Days Sale in 2020,30/06/2020,Clearance Sale,2020,8103740.66,Home,N/A,9077,6423,2,Whatsapp,8626000,1.33,40.23,1.26,198353,Wallet,9.65,,Headphones
Flipkart Deal of the Day in 2025,13/04/2025,Monsoon Sale,2025,788841.26,Home,68.71,unknown,8418,7,Instagram,1857000,1.2,25.46,2.33,608356,Credit Card,9.07,2.9,Toyz
Flipkart Monsoon Sale in 2020,17/12/2020,Flash Sale,2020,9071950.19,Books,,29351,2751,6,Flipkart App,7573000,4.16,54.08,2.6,837623,Debit Card,1.16,2.5,smrtphone
Flipkart Festive Sale in 2022,29/01/2022,Clearance Sale,2022,1912031.76,Electronics,N/A,40283,5396,3,Instagram,6269000,3.94,40.62,1.26,978867,UPI,4.44,2.74,Toyz
Flipkart GOAT Sale in 2021,23/04/2021,Monsoon Sale,2021,981432.74,Books,,unknown,7626,3,Whatsapp,9848000,2.86,41.75,4.93,121976,COD,3.84,3.6,Toys
Flipkart GOAT Sale in 2025,05/01/2025,Big Billion Days Sale,2025,2541679.48,Sports,21.61,unknown,2172,6,FACEBOOK,912000,2.63,75.94,1.41,837073,Wallet,1.25,4.2,Washing Machine
Flipkart Festive Sale in 2021,10/06/2021,Summer Sale,2021,8068431.98,Home,,19010,8658,3,Instagram,9077000,4.39,77.14,0.98,500652,UPI,4.94,4.18,Laptop
Flipkart Festive Sale in 2022,18/03/2022,GOAT Sale,2022,6324712.38,Sports,65.22,unknown,8861,4,Email,8494000,1.18,42.89,1.67,154091,paytm,11.85,3.65,Shoes
Flipkart Big Billion Days Sale in 2025,15/08/2025,Summer Sale,2025,8139147.67,,,39492,5914,1,Twitter,3264000,4.95,56.74,1.99,358602,Credit card,1.31,3.72,Toys
Flipkart Flash Sale in 2025,07/01/2025,Flash Sale,2025,4903963.22,Electronics,N/A,unknown,1383,1,Instagram,5875000,4.99,35.37,3.58,564985,UPI,10.01,2.65,smrtphone
Flipkart Festive Sale in 2021,19/08/2021,Deal of the Day,2021,9605070.36,electrnics,39.47,4064,5645,7,flipkart,1156000,3.97,75.69,4.25,247137,Debit Card,8.45,4.39,Shoes
Flipkart Festive Sale in 2021,21/03/2021,Festive Sale,2021,6320664.15,Sports,,2349,8379,1,Email,4383000,3.09,27.02,4.66,858449,Credit Card,11.24,4.7,Headphones
Flipkart Clearance Sale in 2025,2025-09-04,No Cost EMI Sale,2025,5409332.22,Electronics,N/A,22300,7620,5,Flipkart App,754000,3.53,66.02,3.04,974202,paytm,7.29,3.37,Smartphone
Flipkart Festive Sale in 2025,15/09/2025,Flash Sale,2025,9820223.02,Groceries,56.62,unknown,6038,1,flipkart,8407000,1.28,44.14,2,740276,Credit card,10.8,4.01,Smartphone
Flipkart Festive Sale in 2022,03/04/2022,Winter Sale,2022,1713536.69,Beauty,N/A,35761,2310,7,Instagram,,1.19,40.86,1.68,,Credit Card,4.82,4.17,book
Flipkart Clearance Sale in 2020,18/12/2020,Deal of the Day,2020,8975470.85,Fashion,N/A,33798,5782,5,Email,1917000,0.12,40.15,0.78,598659,Wallet,6.12,4.09,Books
Flipkart Clearance Sale in 2020,2020-12-24,Deal of the Day,2020,7408679.97,Books,N/A,29104,8987,6,Twitter,8726000,3.7,16.45,2.28,864239,paytm,11.4,4.49,Headphones
Flipkart Deal of the Day in 2022,2022-11-14,Flash Sale,2022,670588.69,Beauty,,unknown,934,6,FACEBOOK,2817000,2.18,10.13,4.91,514261,Wallet,14.47,4.25,Shoes
Flipkart Deal of the Day in 2022,24/12/2022,Deal of the Day,2022,3958039.05,electrnics,,unknown,2560,5,Instagram,9213000,2.73,75.22,4.27,354294,Wallet,13.85,4.6,Smartphone
Flipkart Monsoon Sale in 2021,05/07/2021,No Cost EMI Sale,2021,9623853.13,electrnics,N/A,47240,8738,4,Email,2198000,4.58,38.86,4.02,858639,Cash on Delivery,13.49,3.43,Shoes
Flipkart Deal of the Day in 2023,25/07/2023,Flash Sale,2023,2737312.25,Sports,42.96,unknown,9193,3,Email,5053000,3.44,63.93,2.24,195707,UPI,4.51,2.55,Toys
Flipkart Winter Sale in 2022,24/06/2022,Festive Sale,2022,1726601.22,Toys,N/A,,2972,1,Instagram,8002000,2.21,15.4,0.56,275019,Wallet,5.7,3.15,Books
,15/12/2021,Festive Sale,2021,2602194.82,Home,N/A,unknown,5855,1,Twitter,9308000,3.43,58.65,4.29,390424,Cash on Delivery,7.48,3.47,Laptop
Flipkart Festive Sale in 2021,02/02/2021,Big Billion Days Sale,2021,,Fashion,40.3,42440,5540,1,Facebook,1330000,1.91,78.72,2.73,297081,Debit Card,6.17,2.5,smrtphone
Flipkart Big Billion Days Sale in 2022,05/11/2022,Big Billion Days Sale,,1936505.16,Beauty,N/A,unknown,3462,6,Twitter,8756000,4.03,35.25,3.32,833192,COD,7.3,3.49,Toyz
Flipkart Monsoon Sale in 2021,19/06/2021,Deal of the Day,2021,5723280.74,Home,N/A,44501,494,1,flipkart,1109000,1.87,23.31,3.09,397321,COD,3.76,3.55,Toys
Flipkart Flash Sale in 2021,2021-03-12,Summer Sale,2021,5717193.53,,14.59,30979,5341,7,flipkart,7455000,1.97,29.18,0.56,911078,UPI,14.9,3,Smartphone
Flipkart Summer Sale in 2023,28/05/2023,Monsoon Sale,2023,1722750.21,electrnics,N/A,20402,4604,3,Instagram,2303000,0.68,28.35,4.29,977536,paytm,9.24,3.1,Shoes
Flipkart Clearance Sale in 2024,22/09/2024,Flash Sale,2024,5766503.6,Fashion,N/A,16513,1997,,Flipkart App,927000,1.23,52.22,0.62,76871,Wallet,8.6,3.39,Headphones
Flipkart Flash Sale in 2025,15/11/2025,Summer Sale,2025,8119553.87,,N/A,7083,8170,7,Flipkart App,6639000,4.63,20.34,2.15,776178,Wallet,6.67,3.58,Toys
Flipkart Clearance Sale in 2021,31/03/2021,Festive Sale,2021,2857093.48,,,4623,6700,1,Whatsapp,4739000,4.14,20.76,4.39,517911,Debit Card,6.68,3.05,book
Flipkart GOAT Sale in 2021,18/03/2021,Winter Sale,2021,9520405.98,Sports,,unknown,4360,4,Twitter,3598000,3.71,66.85,4.3,899498,Credit Card,2.82,2.61,Books
Flipkart No Cost EMI Sale in 2023,,Winter Sale,2023,8620069.59,Beauty,,unknown,3618,1,Whatsapp,6971000,0.56,10.69,1.1,361518,Debit Card,1.12,2.64,smrtphone
Flipkart Deal of the Day in 2024,26/12/2024,Monsoon Sale,2024,1765745.41,Sports,,unknown,5139,2,Email,1665000,4.57,68.06,2.29,987416,Debit Card,14.05,3.72,smrtphone
Flipkart Monsoon Sale in 2024,09/07/2024,Monsoon Sale,2024,3291988.02,Books,N/A,10441,8269,6,Twitter,1888000,2.16,34.51,2.06,108906,paytm,12.1,4.71,Laptop
Flipkart Summer Sale in 2022,2022-11-12,Winter Sale,2022,9825456.83,Sports,N/A,22072,4421,5,flipkart,4349000,2.8,27.22,2.64,102232,Cash on Delivery,6.59,4.05,book
Flipkart Monsoon Sale in 2020,17/04/2020,Winter Sale,2020,5712589.85,Sports,,22455,9618,6,Whatsapp,9389000,0.24,41.61,1.94,920442,Cash on Delivery,2.71,2.88,smrtphone
Flipkart Big Billion Days Sale in 2020,2020-03-19,No Cost EMI Sale,2020,1863710.61,Electronics,,unknown,3202,7,Flipkart App,5193000,0.41,67.06,2.8,946790,Credit card,7.2,4.05,Shoes
Flipkart Summer Sale in 2025,17/10/2025,No Cost EMI Sale,2025,6506049.49,electrnics,64.4,unknown,280,1,FACEBOOK,8442000,1.42,61.78,2.4,243821,COD,3.58,4.87,Perfume
Flipkart Monsoon Sale in 2023,04/10/2023,Monsoon Sale,2023,9614280.39,electrnics,N/A,unknown,9794,3,Twitter,2337000,0.88,64.96,2.27,787929,paytm,12.53,3.71,Washing Machine
Flipkart Big Billion Days Sale in 2020,,Winter Sale,2020,6331371.04,Home,,31114,2305,4,Twitter,3205000,1.66,15.19,4.37,746493,,13.86,2.79,Toys
Flipkart No Cost EMI Sale in 2022,13/12/2022,GOAT Sale,2022,9910509.21,,N/A,11331,874,3,FACEBOOK,6454000,4.2,24.06,1.15,242953,Cash on Delivery,7.23,4.07,smrtphone
Flipkart GOAT Sale in 2021,2021-12-20,Clearance Sale,2021,3644483.35,Books,14.6,unknown,2702,2,Facebook,597000,2.12,64.65,1.95,683735,UPI,13.4,2.87,smrtphone
Flipkart GOAT Sale in 2020,08/11/2020,Festive Sale,2020,5416897.54,Fashion,N/A,unknown,1631,1,Twitter,2140000,1.72,56,3.03,203953,Wallet,10.4,3.57,smrtphone
Flipkart Festive Sale in 2022,08/06/2022,Clearance Sale,2022,6477079.27,fashon,N/A,42296,4088,5,Instagram,5725000,4.89,29.54,1.1,299325,Cash on Delivery,7.11,2.68,Toyz
Flipkart Monsoon Sale in 2023,21/10/2023,No Cost EMI Sale,2023,4214740.27,,N/A,29077,5264,1,flipkart,3278000,3.61,27.64,3.07,701049,Credit card,2.35,2.61,Books
Flipkart Big Billion Days Sale in 2025,21/07/2025,GOAT Sale,2025,5533920.81,Home,42.41,unknown,990,3,Whatsapp,5401000,1.6,40.3,1.77,628158,Cash on Delivery,,3,Laptop
Flipkart Big Billion Days Sale in 2021,21/08/2021,Big Billion Days Sale,2021,7396170,Groceries,31.6,unknown,4549,7,Whatsapp,8460000,4.17,75.8,2.35,221682,paytm,14.52,3.93,Washing Machine
Flipkart Summer Sale in 2025,02/02/2025,Deal of the Day,2025,3707062.88,Beauty,N/A,9405,6600,6,flipkart,8021000,1.12,72.33,1.06,534755,COD,5.26,2.63,Toys
Flipkart Winter Sale in 2021,12/05/2021,GOAT Sale,2021,3086584.8,Sports,N/A,13990,3674,1,Instagram,5803000,2.93,26.73,0.79,361817,Debit Card,3.59,3.81,smrtphone
Flipkart Big Billion Days Sale in 2022,17/04/2022,Winter Sale,2022,8859521.64,Electronics,N/A,35442,1327,5,Instagram,3010000,1.08,58.76,2.92,222967,Credit Card,6.22,4.71,book
,19/04/2024,Festive Sale,2024,1212118.39,Groceries,N/A,unknown,742,5,Email,1774000,3.39,33.15,2.24,808207,paytm,7.33,2.97,Laptop
Flipkart Summer Sale in 2023,02/03/2023,Monsoon Sale,2023,2264464.63,Toys,N/A,32384,5418,1,Flipkart App,5448000,1.38,41.15,4.01,143370,,1.27,3.34,Toyz
Flipkart GOAT Sale in 2021,10/02/2021,No Cost EMI Sale,2021,3614874.33,Fashion,N/A,36196,9241,4,flipkart,2508000,4.47,60.29,4.69,852114,Credit card,4.9,2.57,Shoes
Flipkart Big Billion Days Sale in 2023,2023-10-14,Winter Sale,2023,5245937.41,Books,N/A,25218,9880,1,flipkart,2896000,3.97,29.17,2.49,780859,COD,14.72,3.82,Laptop
Flipkart Summer Sale in 2024,12/05/2024,Festive Sale,2024,1016039.51,Sports,N/A,unknown,1578,6,Facebook,1987000,4.46,75.02,1.38,497334,UPI,7.37,4.68,book
Flipkart Winter Sale in 2025,21/11/2025,Deal of the Day,2025,1387325.05,Electronics,32.56,unknown,4382,6,Email,7804000,1.63,57.22,4.59,87257,Credit card,7.57,4.39,smrtphone
Flipkart Festive Sale in 2021,20/06/2021,Winter Sale,2021,1130720.42,Beauty,62.89,unknown,7668,1,Flipkart App,7834000,4.53,75.69,4.34,406059,Credit card,4.97,2.64,Smartphone
Flipkart Monsoon Sale in 2024,18/11/2024,Monsoon Sale,2024,5603614.99,Beauty,27.55,14157,5698,1,,7451000,1.35,26.23,2.7,244805,paytm,7.57,4.01,Books
Flipkart No Cost EMI Sale in 2023,27/01/2023,GOAT Sale,2023,5100871.86,Toys,,unknown,7480,5,Whatsapp,6089000,1.57,68.78,0.96,440515,Debit Card,10.9,2.69,Headphones
Flipkart Monsoon Sale in 2020,06/02/2020,Clearance Sale,2020,1616549.04,Fashion,9.26,9212,7852,1,Instagram,5186000,0.49,43.44,0.82,529416,paytm,13.12,3.64,Toys
Flipkart Winter Sale in 2021,20/09/2021,Monsoon Sale,2021,741444.92,Home,17.21,10266,4215,6,Twitter,,1,36.94,4.37,569383,Credit card,11.64,2.66,Toyz
Flipkart Festive Sale in 2020,,GOAT Sale,2020,6345351.8,,N/A,unknown,6406,6,FACEBOOK,,2.96,63.47,3.82,671348,Debit Card,3.34,3.62,Books
Flipkart Flash Sale in 2025,06/05/2025,No Cost EMI Sale,2025,9278124.96,Books,56.18,unknown,2585,5,Flipkart App,3587000,2.12,46.43,1.14,530047,UPI,10.82,2.78,book
Flipkart Summer Sale in 2020,22/09/2020,Flash Sale,2020,3805957.79,Sports,N/A,17931,7746,7,Email,4589000,3.14,31.12,3.23,143691,Cash on Delivery,13.97,3.72,Smartphone
Flipkart Clearance Sale in 2023,15/09/2023,Deal of the Day,2023,6153061.17,Sports,N/A,unknown,8861,3,Twitter,3418000,1.33,75.12,0.71,963774,UPI,12.62,4.76,Headphones
Flipkart GOAT Sale in 2025,10/04/2025,GOAT Sale,2025,5825317.8,Electronics,N/A,18321,3775,6,FACEBOOK,5070000,0.89,56.52,3.08,187303,COD,8.75,3,Shoes
Flipkart Flash Sale in 2020,20/08/2020,Deal of the Day,2020,7985027.81,electrnics,,unknown,4225,1,flipkart,3554000,3.43,56.81,1.7,78635,Wallet,10.49,4,Perfume
Flipkart GOAT Sale in 2020,11/09/2020,Winter Sale,2020,8883217.38,fashon,5.86,unknown,3091,4,Email,7325000,1.58,10.02,2.39,927641,paytm,14.51,4.05,Headphones
Flipkart Summer Sale in 2020,15/04/2020,Festive Sale,2020,3513793.48,Fashion,66.11,unknown,5697,3,flipkart,4754000,1.26,18.94,4.5,873497,UPI,5.81,4.16,Toyz
Flipkart Festive Sale in 2023,01/10/2023,Winter Sale,2023,6930974.12,Groceries,5.63,unknown,2423,2,Twitter,2819000,3.14,51.49,3.08,750309,Credit card,7.51,3.48,Headphones
Flipkart Flash Sale in 2020,11/04/2020,Winter Sale,2020,7071929.09,Books,23.31,unknown,3061,3,Facebook,8986000,2.57,18.92,1.78,200311,UPI,6.6,3.12,smrtphone
Flipkart GOAT Sale in 2021,29/08/2021,Summer Sale,2021,490979.39,Groceries,N/A,2311,5674,1,Facebook,9554000,3.29,15.88,4.11,856023,UPI,8.99,4.74,Smartphone
Flipkart Flash Sale in 2021,30/10/2021,Winter Sale,2021,,Books,40.21,26413,2699,6,Email,1899000,1.01,54.23,4.33,674762,COD,1.5,4.16,Laptop
Flipkart Winter Sale in 2025,19/07/2025,Clearance Sale,2025,8381757.77,Electronics,N/A,40145,1170,3,Email,7845000,4.96,70.28,1.68,592107,paytm,4,2.92,Washing Machine
Flipkart Winter Sale in 2023,2023-04-08,Festive Sale,2023,4424427.24,fashon,N/A,2667,5525,2,Whatsapp,2516000,4.51,60.01,1.13,358837,paytm,12.85,4.03,book
Flipkart Monsoon Sale in 2024,12/09/2024,No Cost EMI Sale,2024,547365.29,Electronics,,unknown,2643,2,Twitter,9439000,0.21,37.85,3.82,687645,Wallet,14.53,4.19,Headphones
Flipkart GOAT Sale in 2025,12/06/2025,Flash Sale,2025,6721008.58,Electronics,47.73,13841,5497,4,Instagram,9216000,1.64,14.24,3.97,302382,Credit Card,14.35,3.71,Toyz
Flipkart Summer Sale in 2023,18/11/2023,Clearance Sale,2023,,Books,,6937,5263,2,Twitter,5243000,2.37,18.43,0.88,495685,COD,6.17,2.77,Perfume
Flipkart Clearance Sale in 2024,15/07/2024,Festive Sale,2024,7345582.71,electrnics,,1613,2737,1,FACEBOOK,9060000,1.03,60.3,2.89,22416,Credit card,4.51,3.13,Headphones
Flipkart Deal of the Day in 2023,30/05/2023,Clearance Sale,2023,3904030.45,Books,50.61,unknown,8163,5,Twitter,6882000,2.6,10.63,4.69,480423,UPI,8.23,3.45,book
Flipkart No Cost EMI Sale in 2023,25/04/2023,Clearance Sale,2023,3894237.52,Sports,N/A,13313,4594,4,Whatsapp,9343000,1.02,62.06,2,670606,Wallet,6,2.77,Shoes
Flipkart Summer Sale in 2021,25/02/2021,Monsoon Sale,2021,5686344.82,Books,N/A,unknown,951,6,Email,3588000,4.07,29.03,0.59,579536,Cash on Delivery,10,4.95,Perfume
Flipkart Monsoon Sale in 2021,2021-12-04,No Cost EMI Sale,2021,9543740.38,Groceries,N/A,unknown,4599,1,Twitter,5718000,1.19,77.37,1.63,417675,Wallet,12.51,3.05,Shoes
Flipkart Monsoon Sale in 2020,08/04/2020,Winter Sale,2020,3133177.41,Groceries,N/A,41117,4037,5,Twitter,4202000,3.13,60.79,4.35,893522,Credit card,2.9,2.56,smrtphone
Flipkart Clearance Sale in 2025,10/05/2025,Winter Sale,2025,203617.61,,,unknown,608,6,FACEBOOK,3031000,4.59,55.52,3.56,956910,paytm,3.09,4.37,Shoes
Flipkart Winter Sale in 2021,19/09/2021,Summer Sale,2021,7825359.18,Fashion,54.54,12130,5906,1,Email,6942000,2.24,52.16,1.83,92578,Debit Card,13.85,3.04,Headphones
Flipkart Clearance Sale in 2025,23/08/2025,Monsoon Sale,2025,9065064.13,fashon,N/A,unknown,9754,1,Instagram,678000,4.25,46.28,3.28,240610,paytm,2.35,4.8,Books
Flipkart Clearance Sale in 2025,28/06/2025,Summer Sale,2025,6593254.3,Beauty,,2129,8131,4,flipkart,6653000,0.69,17,4.55,291219,UPI,6.4,3.29,Books
Flipkart Summer Sale in 2021,21/11/2021,Festive Sale,2021,2611955.18,Sports,,unknown,1114,4,Flipkart App,8101000,3.73,44.67,1.01,23022,UPI,4,4.21,Perfume
Flipkart Deal of the Day in 2025,14/06/2025,Monsoon Sale,2025,683630.1,,N/A,unknown,5354,4,Facebook,7591000,1.6,40.43,0.51,356926,Debit Card,5.5,3.14,Toyz
Flipkart Festive Sale in 2022,10/09/2022,Summer Sale,2022,2417278.24,Electronics,,36152,287,4,flipkart,6961000,3.46,47.22,2.15,485016,Credit card,14.2,3.82,Shoes
Flipkart Festive Sale in 2021,19/03/2021,No Cost EMI Sale,2021,6875954.22,Groceries,44.32,8712,1249,6,FACEBOOK,3685000,4.05,39.35,3.38,659380,Wallet,4.33,3.52,smrtphone
Flipkart No Cost EMI Sale in 2023,08/07/2023,GOAT Sale,2023,,,34.64,unknown,6554,7,FACEBOOK,7405000,3.78,41.88,3.35,857018,Debit Card,8.65,3.72,Shoes
Flipkart Deal of the Day in 2023,04/03/2023,Winter Sale,2023,5324659.63,Electronics,,unknown,2830,2,Instagram,6220000,1.39,19.07,2.43,878619,Wallet,2.43,4.95,Perfume
Flipkart Clearance Sale in 2022,15/07/2022,Clearance Sale,2022,4492154.76,Electronics,,5265,6479,7,Email,673000,0.67,71.84,3.1,316860,Wallet,9.41,3.81,Headphones
Flipkart Monsoon Sale in 2024,23/01/2024,Flash Sale,2024,9050420.17,Fashion,N/A,unknown,7071,2,Flipkart App,6537000,3.21,74.04,1.34,764637,Credit card,3.23,4.42,Smartphone
Flipkart GOAT Sale in 2022,16/01/2022,Clearance Sale,2022,490332.11,fashon,N/A,7373,8258,7,Whatsapp,7701000,4.7,46.26,3.35,710343,,10.71,3.37,Toyz
Flipkart GOAT Sale in 2023,2023-06-24,Monsoon Sale,2023,3193139.14,Beauty,50.75,35578,2837,5,Facebook,5185000,0.35,54.37,2.77,83577,UPI,4.5,2.81,Washing Machine
Flipkart Winter Sale in 2021,13/12/2021,Flash Sale,2021,1701226.83,Groceries,55.54,unknown,2885,1,Instagram,3447000,4.08,67.06,2.81,531795,Wallet,10.86,3.07,Smartphone
Flipkart Festive Sale in 2023,17/10/2023,Big Billion Days Sale,2023,7579505.11,Sports,,unknown,9193,4,Email,1934000,2.82,47.15,2.29,37204,Cash on Delivery,5.5,3.2,book
Flipkart Deal of the Day in 2020,18/01/2020,Deal of the Day,2020,4002750.57,Sports,17.72,unknown,3054,2,,9262000,2.88,46.84,3.54,214481,Credit Card,5.68,4.66,smrtphone
Flipkart Deal of the Day in 2025,24/09/2025,Flash Sale,2025,8848941.4,Home,,unknown,748,5,Twitter,2194000,2.53,23.82,3.09,303895,Wallet,4.15,3.5,smrtphone
Flipkart Festive Sale in 2025,10/09/2025,Flash Sale,2025,3899661.37,,N/A,unknown,1065,3,Whatsapp,7986000,2.74,69.14,1.47,339998,COD,5.31,4.54,book
Flipkart Summer Sale in 2025,09/12/2025,Monsoon Sale,2025,6827818.25,Books,N/A,unknown,7644,7,Whatsapp,1728000,0.97,76,4.46,261400,Wallet,8.4,3.52,Toyz
Flipkart Clearance Sale in 2024,2024-01-11,No Cost EMI Sale,2024,461931.98,Fashion,N/A,15005,5663,2,Twitter,8899000,0.66,31.95,3.97,398461,COD,4.96,4.46,smrtphone
Flipkart Monsoon Sale in 2025,10/11/2025,Summer Sale,2025,5754371.9,Fashion,18.95,49602,2654,6,flipkart,4331000,3.85,20.97,1.21,261182,paytm,10.11,3.42,Toys
,20/04/2024,Festive Sale,2024,5435173.78,Toys,9.35,19099,117,3,Twitter,4640000,3.7,39.23,1.42,862325,COD,1.81,3.89,Shoes
Flipkart Clearance Sale in 2020,22/05/2020,No Cost EMI Sale,2020,6477261.81,Fashion,,45217,8023,1,FACEBOOK,3958000,3.66,47.87,1.47,792958,Debit Card,13.4,3.95,Headphones
Flipkart No Cost EMI Sale in 2025,22/11/2025,Big Billion Days Sale,2025,,Home,N/A,unknown,7308,1,flipkart,2082000,0.26,35.06,4.68,392247,Wallet,7.76,3.72,Smartphone
Flipkart Summer Sale in 2024,06/05/2024,Big Billion Days Sale,2024,5866621.64,Toys,,unknown,2006,1,Instagram,904000,4.85,75.63,1.36,165725,UPI,4.6,3.45,Books
Flipkart Festive Sale in 2023,20/06/2023,Monsoon Sale,2023,4501766.62,Books,N/A,41775,7195,1,Flipkart App,2477000,2.34,16.8,1.7,703920,Debit Card,6.23,3.78,Headphones
Flipkart Clearance Sale in 2020,01/03/2020,Winter Sale,2020,3243486.02,,N/A,40871,2397,6,flipkart,5625000,1.54,12.06,2.4,302211,Credit Card,3.04,3.06,Books
Flipkart Monsoon Sale in 2021,09/09/2021,Winter Sale,2021,9273413.01,Groceries,N/A,33201,2646,4,Twitter,4279000,3.54,72.11,3.56,453857,UPI,10,3.45,Books
Flipkart Flash Sale in 2025,07/05/2025,Big Billion Days Sale,2025,409957.46,Groceries,17.72,8141,4874,2,Email,780000,0.94,15.1,2.56,901229,Credit card,1.07,4.35,Toys
Flipkart Flash Sale in 2024,15/02/2024,GOAT Sale,2024,9664402.72,Books,N/A,unknown,1417,2,Facebook,8376000,3.8,74.77,4.34,224190,Debit Card,1.75,4.12,Laptop
Flipkart Deal of the Day in 2022,2022-01-02,Summer Sale,2022,9899863.83,Home,40.42,14416,8455,3,Whatsapp,3954000,0.8,48.54,3.65,669150,Credit card,12.18,4.18,Headphones
Flipkart Clearance Sale in 2023,30/11/2023,GOAT Sale,2023,6588870.3,Home,23.99,37846,6633,2,Facebook,9366000,4.38,22.08,3.43,748045,Credit card,4.47,4.36,Washing Machine
Flipkart Monsoon Sale in 2024,12/07/2024,Deal of the Day,2024,9505365.13,Home,,34003,6998,6,Flipkart App,2023000,4.59,38.97,4.64,237154,UPI,12.05,3.26,smrtphone
Flipkart Monsoon Sale in 2020,22/03/2020,Monsoon Sale,2020,3617109.59,Toys,,20725,6470,5,Flipkart App,9533000,0.62,60.92,3.36,861783,Credit Card,10.32,4.64,Headphones
Flipkart GOAT Sale in 2025,11/04/2025,Winter Sale,2025,3371332.44,Groceries,53.73,unknown,9747,5,Email,7282000,3.07,79.44,2.11,194600,Credit card,8.65,4.38,Headphones
Flipkart Clearance Sale in 2020,2020-04-29,GOAT Sale,2020,6185895.46,electrnics,37.43,17160,1406,1,Flipkart App,5453000,2.72,53.35,2.25,624565,Wallet,6.32,3.21,Toyz
Flipkart Clearance Sale in 2024,05/01/2024,Monsoon Sale,2024,613969.86,Toys,,39322,9119,6,flipkart,3063000,2.69,77.43,0.8,904126,Debit Card,4.52,3.3,Toys
Flipkart Winter Sale in 2020,07/06/2020,No Cost EMI Sale,2020,8947246.84,fashon,,42234,2487,4,Instagram,8262000,3.64,11,3.07,705748,UPI,1.15,3.34,Perfume
Flipkart Deal of the Day in 2025,25/04/2025,Deal of the Day,2025,2128618.95,Toys,N/A,unknown,7147,4,flipkart,2698000,3.68,29.61,4.9,246848,Credit card,1.12,4.54,Books
Flipkart GOAT Sale in 2025,03/07/2025,Summer Sale,2025,3474636.36,Toys,N/A,3949,1382,2,Whatsapp,511000,2.93,46.65,2.51,78717,paytm,8.16,3.68,Smartphone
Flipkart Festive Sale in 2023,27/11/2023,Deal of the Day,2023,7602526.98,Home,,unknown,7191,6,Instagram,3699000,3.93,13.94,4.26,344444,Credit Card,11.99,4.68,Books
Flipkart Flash Sale in 2023,04/01/2023,Festive Sale,2023,4585689.75,Beauty,N/A,14139,4948,5,Instagram,682000,2.72,76.23,3.29,421346,UPI,10.15,3.98,Toys
Flipkart Monsoon Sale in 2023,2023-07-04,GOAT Sale,2023,3837075.28,electrnics,69.24,19340,9000,7,Email,4785000,2.77,24.66,0.91,948955,Debit Card,5.31,3.38,Washing Machine
Flipkart GOAT Sale in 2024,11/01/2024,No Cost EMI Sale,2024,2184366.91,Groceries,,23929,5401,6,flipkart,9063000,3.78,32.3,1.08,351745,COD,8.34,3.48,Smartphone
Flipkart Summer Sale in 2024,2024-04-18,Monsoon Sale,2024,9288315.02,Sports,N/A,15631,6438,6,Flipkart App,6301000,2.98,21,3.41,516424,COD,2,3.1,Perfume
Flipkart Deal of the Day in 2024,31/07/2024,Summer Sale,2024,1578855.01,electrnics,N/A,unknown,2571,2,Email,6712000,1.53,63.69,3.75,717166,paytm,12.33,3.16,Headphones
Flipkart Clearance Sale in 2023,04/09/2023,Monsoon Sale,2023,6348628.83,Books,,unknown,1809,2,Email,2643000,1.01,75.25,0.74,707287,Credit Card,12.17,4.93,Smartphone
Flipkart Summer Sale in 2020,2020-05-05,Summer Sale,2020,2092682.14,Electronics,N/A,15793,7486,5,Facebook,8078000,1.89,63.69,4.13,675793,Cash on Delivery,10.14,2.58,smrtphone
,22/01/2021,No Cost EMI Sale,2021,4145909.18,Beauty,N/A,11134,285,7,FACEBOOK,3441000,2.95,73.96,2.61,728650,Credit card,9.66,3.07,Books
Flipkart No Cost EMI Sale in 2020,31/10/2020,Big Billion Days Sale,2020,9719185.27,fashon,,unknown,4703,3,Facebook,3590000,0.62,53.05,2.02,172722,paytm,13.36,4.24,smrtphone
Flipkart Clearance Sale in 2020,18/04/2020,Clearance Sale,2020,3210638.51,Toys,68.95,47830,4338,5,FACEBOOK,8984000,0.59,48.23,0.62,965410,paytm,3.27,3.02,Shoes
Flipkart Deal of the Day in 2020,2020-03-08,Festive Sale,2020,7483977.62,Home,N/A,11418,,5,Instagram,4001000,4.65,31.44,3.32,802392,Debit Card,10.19,2.88,Smartphone
Flipkart Flash Sale in 2022,20/10/2022,Deal of the Day,2022,4942084.68,electrnics,,10287,6214,6,Facebook,7169000,3.42,73.13,1.34,968337,COD,10.12,4.8,Toys
Flipkart Clearance Sale in 2021,29/03/2021,Big Billion Days Sale,2021,,Groceries,N/A,25324,7855,5,Twitter,9038000,2.74,28.34,0.56,599972,paytm,13.23,4.7,Books
Flipkart Flash Sale in 2024,14/05/2024,Monsoon Sale,2024,3886422.01,Fashion,N/A,unknown,2266,2,Twitter,7953000,1.78,24.87,0.67,502506,Debit Card,10.82,2.93,Smartphone
Flipkart Deal of the Day in 2021,12/03/2021,Deal of the Day,2021,8722061.31,Home,N/A,33357,6196,4,Email,3953000,3.39,76.66,4.44,289867,COD,10.84,2.72,Laptop
